Date,Adj Close,Close,High,Low,Open,Volume
2023-01-02,51925.33984375,55500.0,56100.0,55200.0,55500.0,10031448
2023-01-03,51831.7734375,55400.0,56000.0,54500.0,55400.0,13547030
2023-01-04,54077.203125,57800.0,58000.0,55600.0,55700.0,20188071
2023-01-05,54451.44140625,58200.0,58800.0,57600.0,58200.0,15682826
2023-01-06,55199.9140625,59000.0,59400.0,57900.0,58300.0,17334989
2023-01-09,56790.41796875,60700.0,60700.0,59600.0,59700.0,18640107
2023-01-10,56509.734375,60400.0,61100.0,59900.0,60200.0,14859797
2023-01-11,56603.29296875,60500.0,61200.0,60300.0,61000.0,12310751
2023-01-12,56603.29296875,60500.0,61200.0,59900.0,61100.0,16102561
2023-01-13,56883.9765625,60800.0,61200.0,60400.0,60500.0,12510328
2023-01-16,57164.64453125,61100.0,61600.0,60800.0,61300.0,10039972
2023-01-17,57071.0859375,61000.0,61500.0,60600.0,61200.0,9831456
2023-01-18,56509.734375,60400.0,61000.0,59900.0,60700.0,11584041
2023-01-19,57538.890625,61500.0,61500.0,60400.0,60500.0,12808490
2023-01-20,57819.5625,61800.0,62300.0,61100.0,62100.0,9646327
2023-01-25,59222.95703125,63300.0,63700.0,63000.0,63500.0,39217
2023-01-26,59690.74609375,63800.0,63900.0,63300.0,63800.0,54188
2023-01-27,60439.2265625,64600.0,65000.0,63900.0,64400.0,44282
2023-01-30,59222.95703125,63300.0,64900.0,63100.0,64900.0,59628
2023-01-31,57445.33203125,61400.0,63700.0,61000.0,63500.0,163847
2023-02-01,57071.0859375,61000.0,62700.0,61000.0,62600.0,98585
2023-02-02,59410.0703125,63500.0,63900.0,62600.0,63200.0,65992
2023-02-03,59410.0703125,63500.0,64000.0,63000.0,63900.0,47567
2023-02-06,57632.4453125,61600.0,63000.0,61600.0,62800.0,144104
2023-02-07,58006.68359375,62000.0,62500.0,61600.0,61900.0,32873
2023-02-08,59035.84375,63100.0,63300.0,62400.0,62800.0,42558
2023-02-09,59222.95703125,63300.0,63300.0,62300.0,63000.0,48035
2023-02-10,58848.71875,62900.0,63000.0,62400.0,62600.0,44786
2023-02-13,58848.71875,62900.0,63000.0,62300.0,62900.0,59395
2023-02-14,59129.3984375,63200.0,63900.0,63200.0,63600.0,70606
2023-02-15,58193.80078125,62200.0,63900.0,62000.0,63900.0,58370
2023-02-16,59597.19140625,63700.0,63700.0,62400.0,62500.0,41448
2023-02-17,58568.04296875,62600.0,63300.0,62400.0,62900.0,28613
2023-02-20,58661.59765625,62700.0,63000.0,61800.0,62900.0,29846
2023-02-21,58100.24609375,62100.0,62800.0,62000.0,62700.0,60971
2023-02-22,57164.64453125,61100.0,61800.0,61000.0,61500.0,39178
2023-02-23,58006.68359375,62000.0,62500.0,61500.0,61700.0,37145
2023-02-24,57351.77734375,61300.0,62600.0,61300.0,62300.0,50792
2023-02-27,56603.29296875,60500.0,60800.0,60200.0,60800.0,11155697
2023-02-28,56696.859375,60600.0,61400.0,60500.0,60800.0,13715861
2023-03-02,56883.9765625,60800.0,61800.0,60500.0,60900.0,13095682
2023-03-03,56603.29296875,60500.0,61200.0,60500.0,61000.0,10711405
2023-03-06,57538.890625,61500.0,61600.0,60800.0,61100.0,13630602
2023-03-07,56790.41796875,60700.0,61400.0,60700.0,61400.0,11473280
2023-03-08,56416.17578125,60300.0,60500.0,59900.0,60100.0,14161857
2023-03-09,56229.05859375,60100.0,60800.0,59900.0,60500.0,14334499
2023-03-10,55667.70703125,59500.0,59700.0,59100.0,59500.0,11902471
2023-03-13,56135.50390625,60000.0,60200.0,59300.0,59900.0,12779724
2023-03-14,55199.9140625,59000.0,59500.0,59000.0,59400.0,12147346
2023-03-15,55948.3828125,59800.0,60300.0,59600.0,60000.0,10482149
2023-03-16,56041.9375,59900.0,60200.0,59100.0,59200.0,10611939
2023-03-17,57351.77734375,61300.0,61300.0,60600.0,60800.0,14090110
2023-03-20,56322.625,60200.0,61200.0,60200.0,61100.0,9618009
2023-03-21,56416.17578125,60300.0,60700.0,60100.0,60500.0,8318514
2023-03-22,57164.64453125,61100.0,61200.0,60500.0,61000.0,8978591
2023-03-23,58287.3671875,62300.0,62300.0,60600.0,60600.0,15381057
2023-03-24,58942.28125,63000.0,63300.0,62300.0,62700.0,18278602
2023-03-27,58100.24609375,62100.0,62800.0,62000.0,62600.0,11039331
2023-03-28,58848.71875,62900.0,62900.0,62100.0,62400.0,11614118
2023-03-29,58661.59765625,62700.0,62700.0,62200.0,62500.0,11216008
2023-03-30,59471.8125,63200.0,63700.0,63100.0,63700.0,15684377
2023-03-31,60224.61328125,64000.0,64000.0,63700.0,64000.0,14094479
2023-04-03,59377.703125,63100.0,64000.0,63000.0,64000.0,11973133
2023-04-04,59848.21484375,63600.0,63800.0,62800.0,63400.0,11120514
2023-04-05,60130.515625,63900.0,64000.0,63400.0,63700.0,9176149
2023-04-06,58624.90234375,62300.0,63600.0,62300.0,63500.0,14992747
2023-04-07,61165.6328125,65000.0,65200.0,63800.0,63800.0,27476120
2023-04-10,61824.33984375,65700.0,66300.0,64700.0,64800.0,18777166
2023-04-11,62012.53515625,65900.0,66200.0,65400.0,66200.0,16323183
2023-04-12,62106.6328125,66000.0,66200.0,65300.0,65800.0,15021313
2023-04-13,62200.73828125,66100.0,66100.0,65400.0,65600.0,15091022
2023-04-14,61259.73046875,65100.0,66600.0,65000.0,66600.0,16176490
2023-04-17,61447.91796875,65300.0,65600.0,64700.0,65000.0,13486618
2023-04-18,61730.234375,65600.0,66000.0,64800.0,65900.0,14802060
2023-04-19,61636.12890625,65500.0,65800.0,65300.0,65500.0,10255985
2023-04-20,61447.91796875,65300.0,65300.0,64600.0,65100.0,9501169
2023-04-21,61824.33984375,65700.0,65900.0,65400.0,65800.0,10538622
2023-04-24,61353.828125,65200.0,65700.0,64800.0,65300.0,12986581
2023-04-25,59848.21484375,63600.0,65400.0,63400.0,65300.0,16193271
2023-04-26,60318.71484375,64100.0,64300.0,63300.0,63600.0,12664541
2023-04-27,60789.23046875,64600.0,65000.0,63300.0,64100.0,14779601
2023-04-28,61636.12890625,65500.0,65900.0,65000.0,65200.0,19699481
2023-05-02,61824.33984375,65700.0,66300.0,65100.0,66000.0,14396948
2023-05-03,61542.02734375,65400.0,65600.0,64900.0,65100.0,8876749
2023-05-04,61259.73046875,65100.0,65700.0,64700.0,65600.0,9791064
2023-05-08,62012.53515625,65900.0,66300.0,65400.0,66300.0,9405365
2023-05-09,61447.91796875,65300.0,65800.0,65100.0,65800.0,9366861
2023-05-10,60789.23046875,64600.0,65500.0,64300.0,65500.0,13057727
2023-05-11,60412.81640625,64200.0,65100.0,64200.0,64700.0,11648905
2023-05-12,60318.71484375,64100.0,64600.0,63600.0,63700.0,8693913
2023-05-15,60695.12109375,64500.0,64600.0,63900.0,64100.0,8172021
2023-05-16,61542.02734375,65400.0,65900.0,65300.0,65800.0,12334657
2023-05-17,61165.6328125,65000.0,65900.0,64800.0,65900.0,10745504
2023-05-18,62294.8359375,66200.0,66200.0,65700.0,66000.0,14431704
2023-05-19,64365.0625,68400.0,68400.0,67500.0,67800.0,20349345
2023-05-22,64459.1484375,68500.0,69000.0,68000.0,68400.0,14470308
2023-05-23,64365.0625,68400.0,68700.0,68100.0,68500.0,8561643
2023-05-24,64459.1484375,68500.0,68700.0,68000.0,68100.0,8192896
2023-05-25,64741.45703125,68800.0,70000.0,68700.0,69900.0,14231160
2023-05-26,66152.96875,70300.0,70400.0,69500.0,69800.0,19549511
2023-05-30,68035.0,72300.0,72300.0,71200.0,71300.0,27476897
2023-05-31,67188.078125,71400.0,72500.0,71000.0,72400.0,25666087
2023-06-01,66717.5859375,70900.0,71600.0,70600.0,70900.0,14669296
2023-06-02,67940.8984375,72200.0,72200.0,71600.0,71700.0,12161798
2023-06-05,67470.3828125,71700.0,72700.0,71400.0,72700.0,12686829
2023-06-07,66811.6796875,71000.0,71600.0,70800.0,71300.0,14796613
2023-06-08,66717.5859375,70900.0,70900.0,70000.0,70400.0,19165568
2023-06-09,67752.703125,72000.0,72300.0,70800.0,71100.0,15050209
2023-06-12,66811.6796875,71000.0,72400.0,70800.0,72100.0,12064287
2023-06-13,67752.703125,72000.0,72200.0,71600.0,71700.0,13227285
2023-06-14,67658.59375,71900.0,72200.0,71100.0,72100.0,12541046
2023-06-15,67282.1875,71500.0,72300.0,71300.0,72100.0,13614994
2023-06-16,67564.4921875,71800.0,71900.0,70900.0,71800.0,15373696
2023-06-19,66999.8984375,71200.0,71700.0,70900.0,71300.0,11100887
2023-06-20,67188.078125,71400.0,71400.0,70400.0,70700.0,11557883
2023-06-21,66341.1875,70500.0,71200.0,70400.0,70700.0,10626603
2023-06-22,67093.984375,71300.0,71500.0,70100.0,70200.0,11411007
2023-06-23,67376.28125,71600.0,72200.0,71600.0,72000.0,12329484
2023-06-26,68129.09375,72400.0,72500.0,71500.0,71700.0,10541901
2023-06-27,68317.296875,72600.0,72600.0,72000.0,72500.0,9442997
2023-06-28,68411.40625,72700.0,72700.0,72000.0,72600.0,8783093
2023-06-29,68469.0859375,72400.0,73400.0,72400.0,73100.0,12229967
2023-06-30,68279.9453125,72200.0,72700.0,71700.0,72500.0,11694765
2023-07-03,69036.515625,73000.0,73200.0,72600.0,72700.0,10722181
2023-07-04,69036.515625,73000.0,73600.0,72900.0,73400.0,10214350
2023-07-05,68090.8125,72000.0,73300.0,71900.0,73000.0,12310610
2023-07-06,67712.515625,71600.0,72400.0,71500.0,71900.0,14777667
2023-07-07,66104.828125,69900.0,71400.0,69800.0,71100.0,17308877
2023-07-10,65726.5390625,69500.0,70400.0,69200.0,70000.0,11713926
2023-07-11,67617.953125,71500.0,71500.0,70100.0,70200.0,12177392
2023-07-12,67996.234375,71900.0,72000.0,71100.0,71200.0,10375581
2023-07-13,67996.234375,71900.0,72600.0,71900.0,72400.0,14417279
2023-07-14,69414.78125,73400.0,73400.0,72400.0,72500.0,15882519
2023-07-17,69320.21875,73300.0,73500.0,72800.0,73200.0,10060049
2023-07-18,68090.8125,72000.0,73500.0,72000.0,73200.0,11697900
2023-07-19,67807.0859375,71700.0,72800.0,71300.0,72700.0,10896412
2023-07-20,67145.09375,71000.0,71500.0,70800.0,71100.0,9732730
2023-07-21,66483.109375,70300.0,70400.0,69400.0,70400.0,16528926
2023-07-24,66577.671875,70400.0,70900.0,69900.0,70100.0,13418597
2023-07-25,66199.3984375,70000.0,70500.0,69800.0,70000.0,14314945
2023-07-26,66010.265625,69800.0,70600.0,68100.0,69800.0,30016221
2023-07-27,67807.0859375,71700.0,71700.0,69300.0,69900.0,24261179
2023-07-28,66766.8125,70600.0,72400.0,70100.0,71800.0,19420683
2023-07-31,66010.265625,69800.0,71000.0,69800.0,70900.0,13035420
2023-08-01,67239.6640625,71100.0,71200.0,70000.0,70100.0,12299254
2023-08-02,66104.828125,69900.0,71000.0,69800.0,70700.0,13835020
2023-08-03,65064.54296875,68800.0,70200.0,68500.0,69900.0,20087090
2023-08-04,64591.69140625,68300.0,69100.0,68200.0,68800.0,12360193
2023-08-07,64780.82421875,68500.0,69200.0,67600.0,67700.0,10968505
2023-08-08,63929.69921875,67600.0,69100.0,67400.0,69000.0,14664709
2023-08-09,65159.12109375,68900.0,69600.0,67900.0,68000.0,17259673
2023-08-10,64307.98828125,68000.0,68500.0,67800.0,68300.0,10227311
2023-08-11,63835.1328125,67500.0,68800.0,67500.0,68400.0,9781038
2023-08-14,63645.984375,67300.0,67900.0,66900.0,67500.0,9352343
2023-08-16,63362.29296875,67000.0,67100.0,66300.0,66700.0,13174578
2023-08-17,63078.56640625,66700.0,66800.0,66000.0,66300.0,10778652
2023-08-18,62700.27734375,66300.0,66700.0,65800.0,66000.0,11745006
2023-08-21,62983.99609375,66600.0,67100.0,66300.0,66600.0,9720067
2023-08-22,62983.99609375,66600.0,67700.0,66300.0,67200.0,10500242
2023-08-23,63456.8515625,67100.0,67100.0,66400.0,66700.0,9549352
2023-08-24,64497.125,68200.0,68700.0,67900.0,68300.0,15044463
2023-08-25,63456.8515625,67100.0,67400.0,66900.0,67100.0,7032462
2023-08-28,63173.1328125,66800.0,67000.0,66500.0,66800.0,5824628
2023-08-29,63173.1328125,66800.0,67200.0,66600.0,66900.0,9114352
2023-08-30,63456.8515625,67100.0,67700.0,67100.0,67300.0,9181223
2023-08-31,63267.71875,66900.0,67200.0,66400.0,67100.0,15964630
2023-09-01,67145.09375,71000.0,71000.0,66700.0,66800.0,29738235
2023-09-04,67334.2421875,71200.0,72900.0,70700.0,72900.0,26286495
2023-09-05,66861.375,70700.0,71500.0,70200.0,70900.0,12330239
2023-09-06,66199.3984375,70000.0,70800.0,69700.0,70700.0,11414620
2023-09-07,66577.671875,70400.0,70600.0,69600.0,70000.0,13741241
2023-09-08,66483.109375,70300.0,70300.0,69600.0,70200.0,10688118
2023-09-11,66955.953125,70800.0,70800.0,70000.0,70400.0,11785462
2023-09-12,66672.2421875,70500.0,71000.0,70400.0,70800.0,11688599
2023-09-13,67050.53125,70900.0,71600.0,70300.0,71100.0,15955797
2023-09-14,67807.0859375,71700.0,71800.0,70800.0,71200.0,21041407
2023-09-15,68090.8125,72000.0,72300.0,71400.0,71700.0,17823512
2023-09-18,66388.546875,70200.0,71700.0,70200.0,71300.0,16040727
2023-09-19,66010.265625,69800.0,70800.0,69600.0,70400.0,11820188
2023-09-20,65821.1171875,69600.0,70300.0,69500.0,70000.0,10873015
2023-09-21,65159.12109375,68900.0,69800.0,68800.0,69200.0,10796336
2023-09-22,65064.54296875,68800.0,68900.0,68300.0,68300.0,9897840
2023-09-25,65631.96875,69400.0,69700.0,68500.0,68500.0,13582516
2023-09-26,65214.640625,68600.0,70000.0,68400.0,70000.0,13143470
2023-09-27,65024.515625,68400.0,69100.0,68200.0,68600.0,14886491
2023-10-04,64168.9140625,67500.0,67700.0,66700.0,67400.0,23361149
2023-10-05,63408.40234375,66700.0,67400.0,66700.0,67300.0,16108313
2023-10-06,62742.94921875,66000.0,67300.0,66000.0,67100.0,14386527
2023-10-10,63123.19921875,66400.0,67600.0,66200.0,66200.0,19889202
2023-10-11,64834.3671875,68200.0,69400.0,67900.0,68600.0,25209349
2023-10-12,65499.828125,68900.0,69700.0,68200.0,68600.0,19311380
2023-10-13,64644.24609375,68000.0,68500.0,67700.0,68000.0,9724086
2023-10-16,63978.78515625,67300.0,68500.0,66800.0,67900.0,12599299
2023-10-17,65975.15625,69400.0,69900.0,67400.0,67700.0,17299253
2023-10-18,67020.8671875,70500.0,70500.0,68800.0,68900.0,16493184
2023-10-19,66070.2265625,69500.0,70000.0,69400.0,69700.0,13985012
2023-10-20,65404.7734375,68800.0,69200.0,68100.0,68900.0,15204495
2023-10-23,65024.515625,68400.0,69100.0,68200.0,68700.0,11625959
2023-10-24,65119.5703125,68500.0,68800.0,67700.0,68700.0,12791710
2023-10-25,64644.24609375,68000.0,68800.0,67900.0,68800.0,10610703
2023-10-26,63408.40234375,66700.0,67900.0,66700.0,67000.0,15517624
2023-10-27,63978.78515625,67300.0,67300.0,66700.0,67100.0,11334726
2023-10-30,63978.78515625,67300.0,67800.0,66700.0,66800.0,10139270
2023-10-31,63598.5390625,66900.0,68300.0,66900.0,67600.0,14488892
2023-11-01,65214.640625,68600.0,68900.0,67300.0,67500.0,13775256
2023-11-02,66260.3515625,69700.0,70000.0,69400.0,70000.0,16350031
2023-11-03,66165.28125,69600.0,70200.0,69500.0,69700.0,10322234
2023-11-06,67401.1328125,70900.0,70900.0,69300.0,69800.0,22228489
