Date,Adj Close,Close,High,Low,Open,Volume,MA20,MA60,Daily_Return
2023-01-02,51925.33984375,55500.0,56100.0,55200.0,55500.0,10031448,,,
2023-01-03,51831.7734375,55400.0,56000.0,54500.0,55400.0,13547030,,,-0.18018018018017834
2023-01-04,54077.203125,57800.0,58000.0,55600.0,55700.0,20188071,,,4.332129963898912
2023-01-05,54451.44140625,58200.0,58800.0,57600.0,58200.0,15682826,,,0.6920415224913601
2023-01-06,55199.9140625,59000.0,59400.0,57900.0,58300.0,17334989,,,1.3745704467353903
2023-01-09,56790.41796875,60700.0,60700.0,59600.0,59700.0,18640107,,,2.8813559322034
2023-01-10,56509.734375,60400.0,61100.0,59900.0,60200.0,14859797,,,-0.49423393739703725
2023-01-11,56603.29296875,60500.0,61200.0,60300.0,61000.0,12310751,,,0.16556291390728006
2023-01-12,56603.29296875,60500.0,61200.0,59900.0,61100.0,16102561,,,0.0
2023-01-13,56883.9765625,60800.0,61200.0,60400.0,60500.0,12510328,,,0.49586776859504855
2023-01-16,57164.64453125,61100.0,61600.0,60800.0,61300.0,10039972,,,0.49342105263157077
2023-01-17,57071.0859375,61000.0,61500.0,60600.0,61200.0,9831456,,,-0.16366612111292644
2023-01-18,56509.734375,60400.0,61000.0,59900.0,60700.0,11584041,,,-0.983606557377048
2023-01-19,57538.890625,61500.0,61500.0,60400.0,60500.0,12808490,,,1.821192052980125
2023-01-20,57819.5625,61800.0,62300.0,61100.0,62100.0,9646327,,,0.4878048780487809
2023-01-25,59222.95703125,63300.0,63700.0,63000.0,63500.0,39217,,,2.4271844660194164
2023-01-26,59690.74609375,63800.0,63900.0,63300.0,63800.0,54188,,,0.789889415481837
2023-01-27,60439.2265625,64600.0,65000.0,63900.0,64400.0,44282,,,1.2539184952978122
2023-01-30,59222.95703125,63300.0,64900.0,63100.0,64900.0,59628,,,-2.0123839009287936
2023-01-31,57445.33203125,61400.0,63700.0,61000.0,63500.0,163847,60550.0,,-3.001579778830965
2023-02-01,57071.0859375,61000.0,62700.0,61000.0,62600.0,98585,60825.0,,-0.6514657980456029
2023-02-02,59410.0703125,63500.0,63900.0,62600.0,63200.0,65992,61230.0,,4.098360655737698
2023-02-03,59410.0703125,63500.0,64000.0,63000.0,63900.0,47567,61515.0,,0.0
2023-02-06,57632.4453125,61600.0,63000.0,61600.0,62800.0,144104,61685.0,,-2.99212598425197
2023-02-07,58006.68359375,62000.0,62500.0,61600.0,61900.0,32873,61835.0,,0.6493506493506551
2023-02-08,59035.84375,63100.0,63300.0,62400.0,62800.0,42558,61955.0,,1.774193548387104
2023-02-09,59222.95703125,63300.0,63300.0,62300.0,63000.0,48035,62100.0,,0.31695721077653616
2023-02-10,58848.71875,62900.0,63000.0,62400.0,62600.0,44786,62220.0,,-0.6319115323854652
2023-02-13,58848.71875,62900.0,63000.0,62300.0,62900.0,59395,62340.0,,0.0
2023-02-14,59129.3984375,63200.0,63900.0,63200.0,63600.0,70606,62460.0,,0.4769475357710551
2023-02-15,58193.80078125,62200.0,63900.0,62000.0,63900.0,58370,62515.0,,-1.5822784810126556
2023-02-16,59597.19140625,63700.0,63700.0,62400.0,62500.0,41448,62650.0,,2.411575562700974
2023-02-17,58568.04296875,62600.0,63300.0,62400.0,62900.0,28613,62760.0,,-1.7268445839874413
2023-02-20,58661.59765625,62700.0,63000.0,61800.0,62900.0,29846,62820.0,,0.15974440894568342
2023-02-21,58100.24609375,62100.0,62800.0,62000.0,62700.0,60971,62835.0,,-0.9569377990430672
2023-02-22,57164.64453125,61100.0,61800.0,61000.0,61500.0,39178,62725.0,,-1.6103059581320411
2023-02-23,58006.68359375,62000.0,62500.0,61500.0,61700.0,37145,62635.0,,1.4729950900163713
2023-02-24,57351.77734375,61300.0,62600.0,61300.0,62300.0,50792,62470.0,,-1.1290322580645107
2023-02-27,56603.29296875,60500.0,60800.0,60200.0,60800.0,11155697,62330.0,,-1.3050570962479635
2023-02-28,56696.859375,60600.0,61400.0,60500.0,60800.0,13715861,62290.0,,0.16528925619834212
2023-03-02,56883.9765625,60800.0,61800.0,60500.0,60900.0,13095682,62280.0,,0.3300330033003229
2023-03-03,56603.29296875,60500.0,61200.0,60500.0,61000.0,10711405,62130.0,,-0.49342105263158187
2023-03-06,57538.890625,61500.0,61600.0,60800.0,61100.0,13630602,62030.0,,1.6528925619834656
2023-03-07,56790.41796875,60700.0,61400.0,60700.0,61400.0,11473280,61985.0,,-1.3008130081300862
2023-03-08,56416.17578125,60300.0,60500.0,59900.0,60100.0,14161857,61900.0,,-0.658978583196046
2023-03-09,56229.05859375,60100.0,60800.0,59900.0,60500.0,14334499,61750.0,,-0.3316749585406287
2023-03-10,55667.70703125,59500.0,59700.0,59100.0,59500.0,11902471,61560.0,,-0.9983361064891838
2023-03-13,56135.50390625,60000.0,60200.0,59300.0,59900.0,12779724,61415.0,,0.8403361344537785
2023-03-14,55199.9140625,59000.0,59500.0,59000.0,59400.0,12147346,61220.0,,-1.6666666666666718
2023-03-15,55948.3828125,59800.0,60300.0,59600.0,60000.0,10482149,61050.0,,1.3559322033898313
2023-03-16,56041.9375,59900.0,60200.0,59100.0,59200.0,10611939,60935.0,,0.16722408026756952
2023-03-17,57351.77734375,61300.0,61300.0,60600.0,60800.0,14090110,60815.0,,2.3372287145241977
2023-03-20,56322.625,60200.0,61200.0,60200.0,61100.0,9618009,60695.0,,-1.7944535073409429
2023-03-21,56416.17578125,60300.0,60700.0,60100.0,60500.0,8318514,60575.0,,0.16611295681063787
2023-03-22,57164.64453125,61100.0,61200.0,60500.0,61000.0,8978591,60525.0,,1.3266998341625147
2023-03-23,58287.3671875,62300.0,62300.0,60600.0,60600.0,15381057,60585.0,,1.9639934533551617
2023-03-24,58942.28125,63000.0,63300.0,62300.0,62700.0,18278602,60635.0,,1.1235955056179803
2023-03-27,58100.24609375,62100.0,62800.0,62000.0,62600.0,11039331,60675.0,,-1.4285714285714235
2023-03-28,58848.71875,62900.0,62900.0,62100.0,62400.0,11614118,60795.0,,1.2882447665056418
2023-03-29,58661.59765625,62700.0,62700.0,62200.0,62500.0,11216008,60900.0,61246.666666666664,-0.31796502384737746
2023-03-30,59471.8125,63200.0,63700.0,63100.0,63700.0,15684377,61020.0,61375.0,0.797448165869219
2023-03-31,60224.61328125,64000.0,64000.0,63700.0,64000.0,14094479,61195.0,61518.333333333336,1.2658227848101333
2023-04-03,59377.703125,63100.0,64000.0,63000.0,64000.0,11973133,61275.0,61606.666666666664,-1.4062499999999978
2023-04-04,59848.21484375,63600.0,63800.0,62800.0,63400.0,11120514,61420.0,61696.666666666664,0.7923930269413626
2023-04-05,60130.515625,63900.0,64000.0,63400.0,63700.0,9176149,61600.0,61778.333333333336,0.4716981132075526
2023-04-06,58624.90234375,62300.0,63600.0,62300.0,63500.0,14992747,61710.0,61805.0,-2.5039123630672955
2023-04-07,61165.6328125,65000.0,65200.0,63800.0,63800.0,27476120,61985.0,61881.666666666664,4.3338683788122
2023-04-10,61824.33984375,65700.0,66300.0,64700.0,64800.0,18777166,62270.0,61968.333333333336,1.0769230769230864
2023-04-11,62012.53515625,65900.0,66200.0,65400.0,66200.0,16323183,62615.0,62058.333333333336,0.3044140030441511
2023-04-12,62106.6328125,66000.0,66200.0,65300.0,65800.0,15021313,62925.0,62145.0,0.15174506828528056
2023-04-13,62200.73828125,66100.0,66100.0,65400.0,65600.0,15091022,63235.0,62228.333333333336,0.15151515151514694
2023-04-14,61259.73046875,65100.0,66600.0,65000.0,66600.0,16176490,63425.0,62296.666666666664,-1.5128593040847238
2023-04-17,61447.91796875,65300.0,65600.0,64700.0,65000.0,13486618,63680.0,62378.333333333336,0.3072196620583778
2023-04-18,61730.234375,65600.0,66000.0,64800.0,65900.0,14802060,63945.0,62446.666666666664,0.45941807044409533
2023-04-19,61636.12890625,65500.0,65800.0,65300.0,65500.0,10255985,64165.0,62508.333333333336,-0.1524390243902385
2023-04-20,61447.91796875,65300.0,65300.0,64600.0,65100.0,9501169,64315.0,62541.666666666664,-0.3053435114503844
2023-04-21,61824.33984375,65700.0,65900.0,65400.0,65800.0,10538622,64450.0,62573.333333333336,0.6125574272588086
2023-04-24,61353.828125,65200.0,65700.0,64800.0,65300.0,12986581,64605.0,62583.333333333336,-0.7610350076103556
2023-04-25,59848.21484375,63600.0,65400.0,63400.0,65300.0,16193271,64640.0,62588.333333333336,-2.4539877300613466
2023-04-26,60318.71484375,64100.0,64300.0,63300.0,63600.0,12664541,64710.0,62633.333333333336,0.7861635220125729
2023-04-27,60789.23046875,64600.0,65000.0,63300.0,64100.0,14779601,64780.0,62693.333333333336,0.7800312012480548
2023-04-28,61636.12890625,65500.0,65900.0,65000.0,65200.0,19699481,64855.0,62726.666666666664,1.393188854489158
2023-05-02,61824.33984375,65700.0,66300.0,65100.0,66000.0,14396948,64985.0,62763.333333333336,0.3053435114503733
2023-05-03,61542.02734375,65400.0,65600.0,64900.0,65100.0,8876749,65075.0,62826.666666666664,-0.45662100456621557
2023-05-04,61259.73046875,65100.0,65700.0,64700.0,65600.0,9791064,65135.0,62878.333333333336,-0.4587155963302725
2023-05-08,62012.53515625,65900.0,66300.0,65400.0,66300.0,9405365,65315.0,62925.0,1.228878648233489
2023-05-09,61447.91796875,65300.0,65800.0,65100.0,65800.0,9366861,65330.0,62958.333333333336,-0.9104704097116834
2023-05-10,60789.23046875,64600.0,65500.0,64300.0,65500.0,13057727,65275.0,62986.666666666664,-1.071975497702915
2023-05-11,60412.81640625,64200.0,65100.0,64200.0,64700.0,11648905,65190.0,63008.333333333336,-0.6191950464396245
2023-05-12,60318.71484375,64100.0,64600.0,63600.0,63700.0,8693913,65095.0,63023.333333333336,-0.15576323987538387
2023-05-15,60695.12109375,64500.0,64600.0,63900.0,64100.0,8172021,65015.0,63061.666666666664,0.6240249609984483
2023-05-16,61542.02734375,65400.0,65900.0,65300.0,65800.0,12334657,65030.0,63090.0,1.3953488372093092
2023-05-17,61165.6328125,65000.0,65900.0,64800.0,65900.0,10745504,65015.0,63130.0,-0.6116207951070374
2023-05-18,62294.8359375,66200.0,66200.0,65700.0,66000.0,14431704,65045.0,63188.333333333336,1.846153846153853
2023-05-19,64365.0625,68400.0,68400.0,67500.0,67800.0,20349345,65190.0,63293.333333333336,3.3232628398791597
2023-05-22,64459.1484375,68500.0,69000.0,68000.0,68400.0,14470308,65350.0,63416.666666666664,0.14619883040936088
2023-05-23,64365.0625,68400.0,68700.0,68100.0,68500.0,8561643,65485.0,63523.333333333336,-0.14598540145985828
2023-05-24,64459.1484375,68500.0,68700.0,68000.0,68100.0,8192896,65650.0,63643.333333333336,0.14619883040936088
2023-05-25,64741.45703125,68800.0,70000.0,68700.0,69900.0,14231160,65910.0,63781.666666666664,0.43795620437956373
2023-05-26,66152.96875,70300.0,70400.0,69500.0,69800.0,19549511,66220.0,63943.333333333336,2.1802325581395277
2023-05-30,68035.0,72300.0,72300.0,71200.0,71300.0,27476897,66605.0,64135.0,2.8449502133712556
2023-05-31,67188.078125,71400.0,72500.0,71000.0,72400.0,25666087,66900.0,64316.666666666664,-1.2448132780082943
2023-06-01,66717.5859375,70900.0,71600.0,70600.0,70900.0,14669296,67160.0,64473.333333333336,-0.7002801120448154
2023-06-02,67940.8984375,72200.0,72200.0,71600.0,71700.0,12161798,67500.0,64665.0,1.833568406205921
2023-06-05,67470.3828125,71700.0,72700.0,71400.0,72700.0,12686829,67830.0,64855.0,-0.6925207756232732
2023-06-07,66811.6796875,71000.0,71600.0,70800.0,71300.0,14796613,68085.0,65036.666666666664,-0.9762900976290068
2023-06-08,66717.5859375,70900.0,70900.0,70000.0,70400.0,19165568,68365.0,65226.666666666664,-0.14084507042253502
2023-06-09,67752.703125,72000.0,72300.0,70800.0,71100.0,15050209,68735.0,65426.666666666664,1.5514809590973178
2023-06-12,66811.6796875,71000.0,72400.0,70800.0,72100.0,12064287,69075.0,65626.66666666667,-1.388888888888884
2023-06-13,67752.703125,72000.0,72200.0,71600.0,71700.0,13227285,69470.0,65830.0,1.4084507042253502
2023-06-14,67658.59375,71900.0,72200.0,71100.0,72100.0,12541046,69840.0,66030.0,-0.1388888888888884
2023-06-15,67282.1875,71500.0,72300.0,71300.0,72100.0,13614994,70145.0,66200.0,-0.5563282336578546
2023-06-16,67564.4921875,71800.0,71900.0,70900.0,71800.0,15373696,70485.0,66393.33333333333,0.41958041958041203
2023-06-19,66999.8984375,71200.0,71700.0,70900.0,71300.0,11100887,70735.0,66575.0,-0.835654596100277
